timestamp,user_id,ip,method,route,status_code,response_time_ms,event_type,message,severity,scenario,scenario_label
2026-05-25 19:22:53,normal_user_001,172.16.10.1,GET,/,200,371,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 19:26:28,normal_user_001,172.16.10.1,POST,/dashboard,200,194,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 19:30:56,normal_user_001,172.16.10.1,GET,/api/notifications,200,522,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 19:34:15,normal_user_001,172.16.10.1,GET,/login,200,313,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 19:38:27,normal_user_001,172.16.10.1,GET,/api/profile,200,293,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 19:42:58,normal_user_001,172.16.10.1,POST,/dashboard/alumno,201,549,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 19:46:50,normal_user_001,172.16.10.1,GET,/,200,253,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 19:50:57,normal_user_001,172.16.10.1,POST,/api/products,201,374,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 19:54:22,normal_user_001,172.16.10.1,POST,/api/products,200,194,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 19:58:18,normal_user_001,172.16.10.1,POST,/login,201,457,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 20:02:35,normal_user_001,172.16.10.1,GET,/,200,560,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 20:06:47,normal_user_001,172.16.10.1,GET,/api/reports,200,170,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 20:10:48,normal_user_001,172.16.10.1,GET,/api/notifications,200,460,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 20:14:49,normal_user_001,172.16.10.1,POST,/login,200,136,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 20:18:55,normal_user_001,172.16.10.1,POST,/api/students,200,171,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 20:22:27,normal_user_001,172.16.10.1,GET,/api/reports,200,374,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 20:26:42,normal_user_001,172.16.10.1,GET,/dashboard,200,469,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 20:30:35,normal_user_001,172.16.10.1,POST,/api/students,200,163,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 20:34:51,normal_user_001,172.16.10.1,POST,/api/profile,200,340,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 20:38:23,normal_user_001,172.16.10.1,POST,/api/reports,201,366,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 20:42:53,normal_user_001,172.16.10.1,POST,/api/products,200,147,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 20:46:27,normal_user_001,172.16.10.1,GET,/api/products,200,500,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 20:50:30,normal_user_001,172.16.10.1,GET,/dashboard/alumno,200,670,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 20:54:58,normal_user_001,172.16.10.1,GET,/dashboard/alumno,200,601,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 20:58:38,normal_user_001,172.16.10.1,POST,/dashboard,201,361,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 21:02:21,normal_user_001,172.16.10.1,POST,/api/profile,200,641,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 21:06:29,normal_user_001,172.16.10.1,POST,/api/notifications,201,498,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 21:10:36,normal_user_001,172.16.10.1,POST,/dashboard,200,611,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 21:14:44,normal_user_001,172.16.10.1,GET,/,200,202,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 21:18:22,normal_user_001,172.16.10.1,POST,/api/reports,200,700,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 21:22:17,normal_user_001,172.16.10.1,POST,/api/reports,201,700,record_created,Registro creado correctamente,normal,normal_traffic,normal
2026-05-25 21:26:42,normal_user_001,172.16.10.1,GET,/api/profile,200,101,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 21:30:56,normal_user_001,172.16.10.1,GET,/api/profile,200,363,page_view,Página cargada correctamente,normal,normal_traffic,normal
2026-05-25 21:35:02,normal_user_001,172.16.10.1,GET,/login,200,390,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 21:38:40,normal_user_001,172.16.10.1,POST,/api/inventory,200,93,login_success,Inicio de sesión correcto,normal,normal_traffic,normal
2026-05-25 21:42:59,normal_user_001,172.16.10.1,GET,/api/profile,200,272,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal
2026-05-25 21:46:45,normal_user_001,172.16.10.1,GET,/api/students,200,744,page_view,Página cargada correctamente,normal,normal_traffic,normal
