timestamp,user_id,ip,method,route,status_code,response_time_ms,event_type,message,severity,scenario,scenario_label,hour,day_of_week,minute,is_weekend,is_night,is_success,is_client_error,is_server_error,is_error,is_slow,is_very_slow,is_critical_route,is_auth_event,is_payment_event,is_warning_event,is_critical_event,is_login_failed,is_unauthorized,is_payment_failed,is_database_timeout,requests_by_ip,requests_by_user,requests_by_route,errors_by_ip,errors_by_route,failed_logins_by_ip,failed_logins_by_user,unauthorized_by_ip,payment_failures_by_route,avg_response_by_route,max_response_by_route,method_code,route_code,event_type_code,severity_code,risk_score
2026-05-25 19:22:53,normal_user_001,172.16.10.1,GET,/,200,371.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,19,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,830,0,0,0,0,0,0,410.0987951807229,750.0,0,0,4,1,0
2026-05-25 19:26:28,normal_user_001,172.16.10.1,POST,/dashboard,200,194.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,19,0,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,678.3282532239156,8988.0,1,12,3,1,0
2026-05-25 19:30:56,normal_user_001,172.16.10.1,GET,/api/notifications,200,522.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,19,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,812,0,0,0,0,0,0,413.52093596059115,749.0,0,5,4,1,0
2026-05-25 19:34:15,normal_user_001,172.16.10.1,GET,/login,200,313.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,19,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1371,0,526,0,0,0,0,354.02990517870165,807.0,0,15,4,1,3
2026-05-25 19:38:27,normal_user_001,172.16.10.1,GET,/api/profile,200,293.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,19,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,0,9,4,1,3
2026-05-25 19:42:58,normal_user_001,172.16.10.1,POST,/dashboard/alumno,201,549.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,19,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,771,0,0,0,0,0,0,407.2295719844358,749.0,1,14,6,1,0
2026-05-25 19:46:50,normal_user_001,172.16.10.1,GET,/,200,253.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,19,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,830,0,0,0,0,0,0,410.0987951807229,750.0,0,0,0,1,0
2026-05-25 19:50:57,normal_user_001,172.16.10.1,POST,/api/products,201,374.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,19,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,804,0,1,0,0,0,0,435.71144278606965,1252.0,1,8,6,1,0
2026-05-25 19:54:22,normal_user_001,172.16.10.1,POST,/api/products,200,194.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,19,0,54,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,804,0,1,0,0,0,0,435.71144278606965,1252.0,1,8,3,1,0
2026-05-25 19:58:18,normal_user_001,172.16.10.1,POST,/login,201,457.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,19,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1371,0,526,0,0,0,0,354.02990517870165,807.0,1,15,6,1,3
2026-05-25 20:02:35,normal_user_001,172.16.10.1,GET,/,200,560.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,20,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,830,0,0,0,0,0,0,410.0987951807229,750.0,0,0,0,1,0
2026-05-25 20:06:47,normal_user_001,172.16.10.1,GET,/api/reports,200,170.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,20,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1513,0,155,0,0,0,0,2871.3397224058162,8975.0,0,10,4,1,3
2026-05-25 20:10:48,normal_user_001,172.16.10.1,GET,/api/notifications,200,460.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,20,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,812,0,0,0,0,0,0,413.52093596059115,749.0,0,5,0,1,0
2026-05-25 20:14:49,normal_user_001,172.16.10.1,POST,/login,200,136.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,20,0,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,1371,0,526,0,0,0,0,354.02990517870165,807.0,1,15,3,1,3
2026-05-25 20:18:55,normal_user_001,172.16.10.1,POST,/api/students,200,171.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,20,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,880,0,14,0,0,0,0,860.8193181818182,8836.0,1,11,3,1,3
2026-05-25 20:22:27,normal_user_001,172.16.10.1,GET,/api/reports,200,374.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,20,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1513,0,155,0,0,0,0,2871.3397224058162,8975.0,0,10,4,1,3
2026-05-25 20:26:42,normal_user_001,172.16.10.1,GET,/dashboard,200,469.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,20,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,678.3282532239156,8988.0,0,12,0,1,0
2026-05-25 20:30:35,normal_user_001,172.16.10.1,POST,/api/students,200,163.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,20,0,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,880,0,14,0,0,0,0,860.8193181818182,8836.0,1,11,3,1,3
2026-05-25 20:34:51,normal_user_001,172.16.10.1,POST,/api/profile,200,340.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,20,0,34,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,1,9,3,1,3
2026-05-25 20:38:23,normal_user_001,172.16.10.1,POST,/api/reports,201,366.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,20,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1513,0,155,0,0,0,0,2871.3397224058162,8975.0,1,10,6,1,3
2026-05-25 20:42:53,normal_user_001,172.16.10.1,POST,/api/products,200,147.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,20,0,42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,804,0,1,0,0,0,0,435.71144278606965,1252.0,1,8,3,1,0
2026-05-25 20:46:27,normal_user_001,172.16.10.1,GET,/api/products,200,500.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,20,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,804,0,1,0,0,0,0,435.71144278606965,1252.0,0,8,4,1,0
2026-05-25 20:50:30,normal_user_001,172.16.10.1,GET,/dashboard/alumno,200,670.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,20,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,771,0,0,0,0,0,0,407.2295719844358,749.0,0,14,4,1,0
2026-05-25 20:54:58,normal_user_001,172.16.10.1,GET,/dashboard/alumno,200,601.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,20,0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,771,0,0,0,0,0,0,407.2295719844358,749.0,0,14,0,1,0
2026-05-25 20:58:38,normal_user_001,172.16.10.1,POST,/dashboard,201,361.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,20,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,678.3282532239156,8988.0,1,12,6,1,0
2026-05-25 21:02:21,normal_user_001,172.16.10.1,POST,/api/profile,200,641.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,1,9,3,1,3
2026-05-25 21:06:29,normal_user_001,172.16.10.1,POST,/api/notifications,201,498.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,21,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,812,0,0,0,0,0,0,413.52093596059115,749.0,1,5,6,1,0
2026-05-25 21:10:36,normal_user_001,172.16.10.1,POST,/dashboard,200,611.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,678.3282532239156,8988.0,1,12,3,1,0
2026-05-25 21:14:44,normal_user_001,172.16.10.1,GET,/,200,202.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,21,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,830,0,0,0,0,0,0,410.0987951807229,750.0,0,0,4,1,0
2026-05-25 21:18:22,normal_user_001,172.16.10.1,POST,/api/reports,200,700.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,1513,0,155,0,0,0,0,2871.3397224058162,8975.0,1,10,3,1,3
2026-05-25 21:22:17,normal_user_001,172.16.10.1,POST,/api/reports,201,700.0,record_created,Registro creado correctamente,normal,normal_traffic,normal,21,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1513,0,155,0,0,0,0,2871.3397224058162,8975.0,1,10,6,1,3
2026-05-25 21:26:42,normal_user_001,172.16.10.1,GET,/api/profile,200,101.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,21,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,0,9,0,1,3
2026-05-25 21:30:56,normal_user_001,172.16.10.1,GET,/api/profile,200,363.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,21,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,0,9,4,1,3
2026-05-25 21:35:02,normal_user_001,172.16.10.1,GET,/login,200,390.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,21,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,1371,0,526,0,0,0,0,354.02990517870165,807.0,0,15,0,1,3
2026-05-25 21:38:40,normal_user_001,172.16.10.1,POST,/api/inventory,200,93.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,411.8440797186401,750.0,1,4,3,1,0
2026-05-25 21:42:59,normal_user_001,172.16.10.1,GET,/api/profile,200,272.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,21,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,0,9,0,1,3
2026-05-25 21:46:45,normal_user_001,172.16.10.1,GET,/api/students,200,744.0,page_view,Página cargada correctamente,normal,normal_traffic,normal,21,0,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,880,0,14,0,0,0,0,860.8193181818182,8836.0,0,11,4,1,3
2026-05-25 21:50:45,normal_user_001,172.16.10.1,POST,/dashboard,200,472.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,50,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,678.3282532239156,8988.0,1,12,3,1,0
2026-05-25 21:55:01,normal_user_001,172.16.10.1,POST,/api/profile,200,633.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,21,0,55,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,784,0,25,0,0,0,0,424.6198979591837,1971.0,1,9,3,1,3
2026-05-25 21:58:13,normal_user_001,172.16.10.1,GET,/api/inventory,200,109.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,21,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,853,0,0,0,0,0,0,411.8440797186401,750.0,0,4,0,1,0
2026-05-25 22:02:20,normal_user_001,172.16.10.1,GET,/api/students,200,335.0,data_loaded,Datos cargados correctamente,normal,normal_traffic,normal,22,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,880,0,14,0,0,0,0,860.8193181818182,8836.0,0,11,0,1,3
2026-05-25 22:06:16,normal_user_001,172.16.10.1,POST,/api/notifications,200,170.0,login_success,Inicio de sesión correcto,normal,normal_traffic,normal,22,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,90,812,0,0,0,0,0,0,413.52093596059115,749.0,1,5,3,1,0
