incident_id,severity,severity_rank,incident_type,sources,detection_types,first_seen,last_seen,events_count,user_id,ip,method,route,status_code,max_response_time_ms,event_type,max_risk_score,min_anomaly_score,reason,recommendation
INC-00001,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response",2026-06-01 13:20:44,2026-06-01 13:28:24,20,user_099,181.65.22.31,POST,/api/payments,500,8400.0,payment_failed,29,-0.0608247712012027,"Se consolidaron 20 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00002,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response",2026-06-01 13:24:24,2026-06-01 13:29:04,15,user_069,190.12.45.10,POST,/api/payments,500,7243.0,payment_failed,29,-0.0515816257316631,"Se consolidaron 15 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00003,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-06-01 13:20:04,2026-06-01 13:25:04,10,user_108,181.65.22.30,POST,/api/payments,500,8949.0,payment_failed,29,-0.0324858420749888,"Se consolidaron 10 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00004,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-06-01 13:21:44,2026-06-01 13:26:44,10,user_073,10.0.0.15,POST,/api/payments,500,7969.0,payment_failed,29,-0.0379565153531286,"Se consolidaron 10 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00005,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response",2026-06-01 13:22:04,2026-06-01 13:24:04,10,user_051,190.12.45.11,POST,/api/payments,500,7022.0,payment_failed,29,-0.0250227584309499,"Se consolidaron 10 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00006,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response",2026-06-01 13:20:24,2026-06-01 13:29:24,10,user_100,45.90.130.77,POST,/api/payments,500,6097.0,payment_failed,29,-0.0410788836930848,"Se consolidaron 10 detecciones relacionadas en /api/payments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage, slow_response.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00007,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-06-01 04:25:05,2026-06-01 04:25:05,5,user_109,181.65.22.31,POST,/api/enrollments,500,7264.0,payment_failed,29,-0.0265003870853404,"Se consolidaron 5 detecciones relacionadas en /api/enrollments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00008,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-06-01 01:15:20,2026-06-01 01:15:20,5,user_008,10.0.0.15,POST,/api/database,500,7236.0,payment_failed,29,-0.0520948500498622,"Se consolidaron 5 detecciones relacionadas en /api/database. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00009,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-05-27 09:17:06,2026-05-27 09:17:06,5,user_017,181.65.22.30,POST,/api/database,500,7009.0,payment_failed,29,-0.019702080514989,"Se consolidaron 5 detecciones relacionadas en /api/database. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
INC-00010,critical,2,payment_failure_outage,"ml_anomaly_detector, rule_engine","critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage",2026-05-30 00:25:22,2026-05-30 00:25:22,5,user_078,181.65.22.30,POST,/api/enrollments,500,6760.0,payment_failed,29,-0.041585397536652,"Se consolidaron 5 detecciones relacionadas en /api/enrollments. Evento principal: payment_failed. Tipo de incidente: payment_failure_outage. Severidad final: critical. Fuentes: ml_anomaly_detector, rule_engine. Evidencias: critical_route_server_error, critical_route_very_slow, high_risk_score, ml_anomaly, payment_failure_outage.","Revisar logs del backend, servicios relacionados y disponibilidad de la base de datos."
